iter	RMSE
0	85899.75485
1	83696.05515
2	81304.57187
3	79374.97658
4	77149.6979
5	75122.67228
6	73529.66125
7	71705.01279
8	70235.86377
9	69192.82927
10	67952.2709
11	67141.15994
12	65957.30899
13	65370.02755
14	64330.80856
15	63120.69286
16	62852.78355
17	61487.86307
18	60304.05625
19	59402.76675
20	58352.65421
21	57819.46464
22	57136.19933
23	56528.47442
24	55938.22781
25	55138.82163
26	54419.0136
27	53813.13319
28	53394.11685
29	52956.74724
30	52866.27859
31	52406.42527
32	52286.61357
33	51937.0799
34	51540.13182
35	51114.32742
36	50691.90965
37	50346.6747
38	49910.05707
39	49482.34805
40	49257.63957
41	48865.87268
42	48668.79964
43	48503.4863
44	48189.3692
45	47850.92191
46	47468.37412
47	47244.62698
48	46769.39923
49	46603.30444
50	46459.43709
51	46178.97682
52	46064.56627
53	45930.64414
54	45712.83465
55	45534.75713
56	45403.83869
57	45258.65219
58	45164.27471
59	45054.29526
60	44902.41641
61	44752.09525
62	44536.08661
63	44381.2968
64	44248.89329
65	43991.61958
66	43903.03095
67	43808.7591
68	43709.49528
69	43614.73958
70	43514.81455
71	43414.76405
72	43364.81361
73	43173.982
74	43075.75552
75	43007.64037
76	42940.60652
77	42840.83639
78	42783.92057
79	42648.78418
80	42545.75627
81	42431.20895
82	42372.56296
83	42301.36692
84	42228.53439
85	42171.66851
86	42112.3491
87	42037.72276
88	41937.52669
89	41895.62383
90	41796.86087
91	41758.64639
92	41668.55885
93	41610.16697
94	41529.64663
95	41485.41263
96	41424.15813
97	41372.50043
98	41350.97071
99	41325.29109
100	41244.22252
101	41224.93125
102	41168.25915
103	41129.46965
104	41103.26896
105	41055.07092
106	41036.07956
107	40993.80424
108	40967.1939
109	40939.88282
110	40901.87882
111	40888.66123
112	40838.64949
113	40823.50782
114	40787.47526
115	40772.17888
116	40752.16039
117	40724.03786
118	40713.39395
119	40704.76657
120	40679.92474
121	40643.42253
122	40615.1232
123	40606.50731
124	40596.85624
125	40574.71054
126	40556.1321
127	40535.13917
128	40522.24255
129	40511.13204
130	40486.0831
131	40479.50055
132	40456.14816
133	40451.71068
134	40435.59841
135	40428.72757
136	40419.69726
137	40414.95739
138	40397.13222
139	40382.57606
140	40370.81314
141	40353.55827
142	40349.01326
143	40336.46795
144	40325.32063
145	40312.98677
146	40305.61162
147	40297.03228
148	40287.83105
149	40280.21397
150	40275.833
151	40263.76802
152	40255.83675
153	40248.17566
154	40246.24264
155	40242.16548
156	40240.33372
157	40237.75964
158	40233.68301
159	40226.11851
160	40224.45617
161	40223.06664
162	40216.65583
163	40214.26842
164	40212.44031
165	40208.64333
166	40206.54311
167	40205.70662
168	40198.977
169	40190.64917
170	40186.7714
171	40181.43708
172	40174.71847
173	40167.25405
174	40165.66913
175	40161.1697
176	40158.54961
177	40155.49053
178	40150.27897
179	40144.6136
180	40140.62613
181	40139.23485
182	40136.52091
183	40133.98588
184	40130.89938
185	40126.73325
186	40124.14138
187	40121.02955
188	40119.71874
189	40115.24048
190	40114.39879
191	40112.61098
192	40109.92952
193	40106.05196
194	40104.76162
195	40100.53111
196	40099.24694
197	40097.8109
198	40094.97599
199	40092.94155
200	40091.53482
201	40090.76407
202	40087.41773
203	40085.14273
204	40084.30245
205	40082.04479
206	40079.0792
207	40077.26974
208	40075.68053
209	40073.29698
210	40071.15654
211	40070.41771
212	40067.58442
213	40067.03155
214	40065.70271
215	40064.27823
216	40062.41578
217	40059.41045
