iter	Passed	Remaining
0	97	97596
1	114	57283
2	131	43569
3	146	36581
4	164	32753
5	182	30268
6	196	27895
7	210	26084
8	224	24687
9	237	23533
10	251	22653
11	274	22612
12	288	21885
13	304	21418
14	326	21414
15	347	21341
16	373	21587
17	399	21785
18	418	21587
19	438	21478
20	468	21825
21	498	22148
22	530	22518
23	557	22677
24	586	22890
25	614	23001
26	645	23247
27	668	23192
28	709	23771
29	740	23938
30	771	24103
31	800	24229
32	831	24351
33	862	24517
34	886	24443
35	904	24222
36	923	24026
37	942	23863
38	965	23797
39	995	23883
40	1028	24063
41	1090	24878
42	1392	30981
43	1437	31230
44	1460	31000
45	1492	30946
46	1520	30836
47	1566	31077
48	1605	31152
49	1653	31408
50	1701	31669
51	1754	31994
52	1786	31917
53	1811	31737
54	1832	31479
55	1849	31181
56	1874	31015
57	1898	30833
58	1934	30849
59	1957	30664
60	1981	30499
61	2003	30304
62	2019	30031
63	2040	29848
64	2062	29671
65	2079	29429
66	2100	29248
67	2123	29104
68	2138	28856
69	2152	28598
70	2166	28352
71	2182	28133
72	2202	27974
73	2224	27840
74	2244	27684
75	2266	27558
76	2285	27395
77	2314	27356
78	2335	27224
79	2351	27037
80	2366	26854
81	2380	26645
82	2392	26429
83	2406	26240
84	2421	26066
85	2444	25974
86	2469	25918
87	2489	25801
88	2508	25677
89	2530	25590
90	2556	25534
91	2579	25458
92	2593	25293
93	2606	25123
94	2621	24971
95	2636	24826
96	2655	24717
97	2672	24597
98	2701	24589
99	2732	24596
100	2757	24541
101	2793	24593
102	2822	24581
103	2842	24491
104	2884	24590
105	2903	24484
106	2932	24473
107	2950	24366
108	2970	24278
109	2989	24184
110	3014	24145
111	3034	24062
112	3052	23964
113	3074	23896
114	3094	23814
115	3115	23743
116	3135	23659
117	3154	23579
118	3173	23494
119	3192	23409
120	3207	23301
121	3222	23190
122	3236	23078
123	3250	22966
124	3266	22862
125	3279	22750
126	3293	22637
127	3307	22529
128	3322	22429
129	3335	22325
130	3351	22230
131	3364	22123
132	3377	22016
133	3390	21910
134	3404	21814
135	3426	21766
136	3456	21774
137	3476	21714
138	3495	21652
139	3514	21589
140	3535	21540
141	3555	21482
142	3579	21450
143	3594	21366
144	3612	21303
145	3628	21225
146	3643	21141
147	3658	21060
148	3672	20976
149	3687	20895
150	3702	20816
151	3720	20758
152	3736	20684
153	3752	20612
154	3767	20538
155	3783	20472
156	3799	20399
157	3813	20320
158	3831	20265
159	3849	20209
160	3868	20160
161	3890	20124
162	3916	20111
163	3942	20097
164	3965	20065
165	3985	20024
166	4011	20008
167	4036	19987
168	4057	19951
169	4076	19901
170	4091	19836
171	4111	19792
172	4132	19754
173	4148	19694
174	4165	19636
175	4182	19583
176	4206	19558
177	4226	19518
178	4249	19489
179	4266	19434
180	4285	19389
181	4304	19345
182	4325	19309
183	4346	19275
184	4368	19245
185	4388	19204
186	4416	19201
187	4451	19227
188	4496	19293
189	4583	19540
190	4621	19575
191	4652	19577
192	4733	19790
193	4813	19996
194	4865	20085
195	4902	20111
196	4944	20156
197	4994	20230
198	5065	20390
199	5119	20479
200	5183	20603
201	5224	20641
202	5260	20653
203	5339	20834
204	5403	20954
205	5438	20963
206	5464	20933
207	5491	20910
208	5515	20873
209	5548	20873
210	5590	20906
211	5622	20897
212	5659	20912
213	5695	20918
214	5722	20894
215	5750	20872
216	5787	20881
217	5830	20915
218	5861	20904
219	5902	20926
220	5931	20906
221	5961	20891
222	5983	20849
223	6008	20815
224	6045	20822
225	6077	20815
226	6104	20788
227	6144	20806
228	6194	20854
229	6236	20878
230	6269	20870
231	6315	20907
232	6339	20869
233	6362	20826
234	6381	20775
235	6412	20760
236	6463	20809
237	6512	20849
238	6545	20842
239	6604	20915
240	6641	20916
241	6671	20896
242	6693	20850
243	6713	20802
244	6760	20834
245	6790	20812
246	6823	20801
247	6872	20837
248	6912	20847
249	6956	20869
250	6987	20850
251	7027	20858
252	7053	20827
253	7085	20811
254	7124	20815
255	7187	20887
256	7234	20914
257	7268	20904
258	7300	20886
259	7335	20878
260	7419	21007
261	7518	21179
262	7544	21140
263	7587	21152
264	7645	21204
265	7705	21263
266	7761	21307
267	7801	21308
268	7829	21276
269	7870	21278
270	7923	21314
271	7969	21331
272	8049	21436
273	8081	21412
274	8113	21389
275	8140	21353
276	8170	21324
277	8207	21317
278	8260	21347
279	8313	21377
280	8347	21357
281	8393	21370
282	8466	21451
283	8510	21456
284	8543	21433
285	8605	21483
286	8671	21541
287	8738	21602
288	8773	21584
289	8800	21545
290	8824	21501
291	8874	21517
292	8916	21515
293	8951	21495
294	9000	21510
295	9125	21703
296	9309	22036
297	9385	22109
298	9474	22213
299	9519	22212
300	9550	22179
301	9577	22137
302	9605	22096
303	9642	22076
304	9672	22040
305	9699	21998
306	9718	21937
307	9738	21880
308	9765	21838
309	9804	21823
310	9843	21807
311	9884	21797
312	9937	21811
313	9963	21767
314	9997	21740
315	10041	21736
316	10175	21923
317	10266	22017
318	10364	22126
319	10415	22133
320	10473	22154
321	10515	22140
322	10563	22140
323	10607	22131
324	10651	22122
325	10740	22206
326	10819	22267
327	10983	22502
328	11107	22653
329	11234	22808
330	11275	22788
331	11321	22779
332	11426	22888
333	11498	22927
334	11533	22894
335	11565	22854
336	11600	22821
337	11637	22793
338	11692	22798
339	11723	22756
340	11748	22704
341	11777	22658
342	11804	22611
343	11835	22569
344	11860	22517
345	11907	22506
346	11935	22460
347	11959	22406
348	11992	22369
349	12049	22377
350	12097	22367
351	12198	22455
352	12301	22546
353	12403	22635
354	12466	22650
355	12524	22655
356	12562	22627
357	12628	22645
358	12665	22614
359	12702	22581
360	12792	22643
